ID	M145	M146	M147	M149	M150	M151	M152	M153	M154	M155	M156	M158	M159	M160	M161	M162	M163	M164	M165	M166	M167	M168	M169	M170	M171	M172	M173	M174	M175	M176
Catharanthus roseus aster yellows phytoplasma	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
Abelson murine leukemia virus	0	0	0	2	1	3	0	0	0	0	0	1	2	0	0	0	0	0	0	1	0	2	0	0	1	0	1	1	0	0
Abiotrophia defectiva	35	72	91	27	28	45	63	69	46	31	39	9	7	0	38	53	83	16	73	36	12	20	4	7	8	13	22	21	22	47
Abouovirus abouo	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Abyssalbus ytuae	78	267	130	5	17	15	29	144	103	120	113	13	6	7	40	79	33	44	32	10	11	14	27	31	47	37	15	19	6	31
Abyssibius alkaniclasticus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	28	14	0	0	0	0
Abyssicoccus albus	64	92	99	12	10	27	78	23	22	13	20	4	5	1	60	104	67	51	95	42	18	55	50	42	63	49	48	65	26	62
Abyssogena phaseoliformis symbiont	0	3	3	16	4	7	4	0	0	0	0	1	3	2	0	0	1	0	0	1	15	3	0	0	0	0	1	3	2	2
Acadianvirus reprobate	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acajnonavirus acj9	7	8	13	1	1	2	1	6	5	2	4	5	7	4	2	0	0	1	0	0	0	3	5	0	3	0	1	0	0	0
Acanthamoeba polyphaga mimivirus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acanthocystis turfacea chlorella virus 1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
Acaryochloris marina	47	160	79	37	27	31	25	27	31	27	24	22	8	8	94	58	51	90	136	71	34	51	13	39	59	36	115	78	46	128
Acaryochloris sp. Moss Beach	13	16	94	0	1	1	0	7	2	6	5	4	1	1	6	8	21	2	2	0	1	1	0	11	12	5	0	0	0	2
Acaryochloris sp. CCMEE 5410	2	6	15	0	2	0	1	0	0	3	0	0	0	0	2	78	14	2	13	2	0	1	1	3	0	0	0	1	0	0
Acetilactobacillus jinshanensis	6	15	5	52	31	36	5	5	12	12	5	2	3	0	3	2	0	1	13	2	0	2	4	1	3	2	1	3	1	1
Acetivibrio clariflavus	172	600	823	247	117	430	574	651	511	404	442	100	72	58	210	216	320	190	344	180	77	188	171	213	306	201	223	222	149	273
Acetivibrio saccincola	86	465	222	73	63	108	279	90	84	132	82	110	88	30	249	322	206	132	204	102	56	145	117	140	185	93	160	203	113	254
Acetivibrio thermocellus	291	1021	895	152	173	216	357	422	334	350	404	104	88	44	346	622	391	192	356	101	128	73	186	177	249	216	186	112	81	104
Acetoanaerobium sticklandii	103	220	324	99	80	73	295	123	100	98	101	64	52	35	62	112	106	173	223	73	62	112	118	61	87	60	82	110	63	102
Acetobacter aceti	82	238	336	201	70	263	99	676	497	407	500	58	59	27	352	210	257	43	196	125	12	93	19	19	40	13	86	93	72	140
Acetobacter ascendens	28	61	225	127	67	165	58	303	330	248	262	48	65	17	3	3	11	1	6	16	7	2	3	11	14	8	4	9	5	18
Acetobacter ghanensis	20	15	70	15	7	15	11	6	14	18	11	7	12	3	14	12	10	6	16	5	1	6	3	7	4	4	21	5	4	5
Acetobacter orientalis	18	30	41	37	24	27	25	36	18	9	27	0	4	2	69	34	62	7	20	20	24	5	3	5	8	15	9	3	5	5
Acetobacter oryzifermentans	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	4	0	0	0	2	1
Acetobacter oryzoeni	0	2	2	22	11	10	4	3	0	2	0	2	1	1	7	5	1	0	0	0	0	0	0	0	0	0	5	10	2	1
Acetobacter pasteurianus	44	134	88	208	234	107	110	95	65	103	93	229	212	147	44	37	42	80	69	53	54	46	14	12	15	21	34	39	59	61
Acetobacter persici	62	91	51	40	54	72	48	72	64	65	96	5	10	7	128	84	130	28	73	20	13	28	35	11	15	5	11	9	15	11
Acetobacter pomorum	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter senegalensis	5	10	5	0	3	2	4	36	36	47	22	2	0	0	46	20	40	7	63	38	0	24	5	7	11	11	35	35	25	50
Acetobacter sp. JWB	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Acetobacter sp. KACC 21233	79	173	53	53	41	28	47	41	30	36	44	48	61	37	101	55	100	74	42	19	48	18	32	0	0	0	15	8	10	23
Acetobacter tropicalis	15	7	39	7	12	8	2	0	0	0	0	7	21	4	4	1	9	5	3	4	5	2	3	3	5	2	14	16	8	6
Acetobacter vaccinii	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	19	25	0	0	0	0
Acetobacterium sp. KB-1	190	349	821	318	225	475	444	840	666	588	625	159	128	50	236	336	193	219	295	103	84	88	90	139	146	83	143	192	151	323
Acetobacterium wieringae	459	914	1546	771	371	935	791	1780	1508	1418	1455	199	196	82	308	561	471	273	637	322	202	254	334	335	443	294	385	457	381	963
